administracao,categoria_despesa,cd_anoexecucao,cd_despesa,cd_elemento,cd_exercicio,cd_fonte,cd_funcao,cd_modalidade,cd_orgao,cd_programa,cd_subfuncao,cd_unidade,codigo,dataextracao,datafinal,datainicial,ds_categoria,ds_despesa,ds_fonte,ds_funcao,ds_grupo,ds_modalidade,ds_orgao,ds_programa,ds_projeto_atividade,ds_subfuncao,ds_unidade,estado,grupo_despesa,latitude,longitude,pa,papa,projetoatividade,sigla_orgao,sld_orcado_ano,vl_atualizado,vl_congeladoliquido,vl_empenhadoliquido,vl_liquidado,vl_pago,vl_reservadoliquido
Indireta,3,2017,33903000,30,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903000.90.30.0.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Material de Consumo                                                                                                                                                                                                                                           ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,2003106.0,2003106.0,500776.5,430919.5,159259.3,145547.8,644634.02
Indireta,3,2017,33503900,39,2017,0,10,50,1,3003,302,10,2017.1.10.10.302.3003.33503900.50.39.0.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Serviços de Terceiros - Pessoa Jurídica                                                                                                                                                                                                                ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Transferências a Instituições Privadas sem fins Lucrativos,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,215569617.0,215569617.0,53817404.25,73255705.45,73255705.45,66462552.97,73255705.45
Indireta,4,2017,44905200,52,2017,6,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905200.90.52.6.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Equipamentos e Material Permanente                                                                                                                                                                                                                            ,Recursos Próprios da Administração Indireta,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,empenhado,4,,,Atividades,Atividades,4103,AHM       ,1000000.0,1000000.0,648000.0,86539.43,0.0,0.0,253179.3
Indireta,3,2017,33903600,36,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33903600.90.36.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Serviços de Terceiros - Pessoa Física                                                                                                                                                                                                                  ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,2100,AHM       ,13762509.0,13762509.0,3440627.25,5491000.0,3536528.17,3440784.88,5491000.0
Indireta,4,2017,44905200,52,2017,2,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905200.90.52.2.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Equipamentos e Material Permanente                                                                                                                                                                                                                            ,Transferências Federais,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,,,Atividades,Atividades,4103,AHM       ,24996.0,24996.0,800.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33904700,47,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33904700.90.47.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Obrigações Tributárias e Contributivas                                                                                                                                                                                                                        ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,2100,AHM       ,2797500.0,2797500.0,699375.0,1211866.78,726796.0,541686.7,1211866.78
Indireta,3,2017,33900800,8,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33900800.90.8.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Benefícios Assistenciais do Servidor ou do Militar                                                                                                                                                                                                     ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,2100,AHM       ,100000.0,100000.0,25000.0,17374.17,17374.17,17374.17,17374.17
Indireta,3,2017,33903000,30,2017,6,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903000.90.30.6.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Material de Consumo                                                                                                                                                                                                                                           ,Recursos Próprios da Administração Indireta,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,3,,,Atividades,Atividades,4103,AHM       ,322186.0,322186.0,208777.0,0.0,0.0,0.0,0.0
Indireta,3,2017,31909100,91,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.31909100.90.91.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Sentenças Judiciais                                                                                                                                                                                                                                           ,Tesouro Municipal,Saúde,PESSOAL E ENCARGOS SOCIAIS,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,1,,,Atividades,Pessoal,2100,AHM       ,220078.0,220078.0,0.0,220078.0,84562.9,84562.9,220078.0
Indireta,3,2017,33903900,39,2017,2,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903900.90.39.2.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Serviços de Terceiros -Pessoa Jurídica                                                                                                                                                                                                                 ,Transferências Federais,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,25005684.0,25005684.0,800182.0,7435722.34,4563993.44,4270933.44,7435722.34
