"status";"general_jedi_encarregado";"estatura_cm";"massa_em_kilos"
"Apto";"Shaak Ti";180,02;83,46
"Apto";"Yoda";180,61;83,52
"Apto";"Mace Windu";181,06;83,4
"Apto";"Obi-Wan Kenobi";181,07;83,15
"Apto";"Shaak Ti";180,74;83,18
"Apto";"Mace Windu";180,49;84,38
"Apto";"Yoda";180,1;83,01
"Apto";"Shaak Ti";180,76;84,15
"Apto";"Shaak Ti";180,46;83,86
"Apto";"Mace Windu";180,24;84,24
"Apto";"Shaak Ti";180,76;83,66
"Apto";"Mace Windu";180,36;84,11
"Apto";"Aayla Secura";180,19;83,5
"Apto";"Mace Windu";180,09;83,7
"Apto";"Mace Windu";180,13;83,35
"Apto";"Aayla Secura";180,38;84,44
"Apto";"Mace Windu";180,3;84,02
"Apto";"Aayla Secura";180,29;84,12
"Apto";"Yoda";180,55;84,12
"Apto";"Yoda";180,01;84
"Apto";"Mace Windu";180,35;84,1
"Apto";"Shaak Ti";181,16;83,93
"Apto";"Obi-Wan Kenobi";180,6;84,41
"Defeituoso";"Yoda";180,44;83,18
"Apto";"Yoda";180,45;84,1
"Apto";"Yoda";180,74;83,76
"Apto";"Mace Windu";180,29;84,2
"Apto";"Obi-Wan Kenobi";180,36;83,2
"Apto";"Obi-Wan Kenobi";181,03;84,09
"Defeituoso";"Shaak Ti";180,41;83,19
"Apto";"Yoda";180,07;83,23
"Apto";"Obi-Wan Kenobi";180,28;84,47
"Apto";"Aayla Secura";180,24;83,45
"Defeituoso";"Shaak Ti";180,32;83,18
"Apto";"Yoda";181,16;84,07
"Apto";"Shaak Ti";180,01;83,76
"Apto";"Obi-Wan Kenobi";181,03;83,8
"Apto";"Yoda";181,17;83,15
"Apto";"Aayla Secura";180,2;84,22
"Apto";"Obi-Wan Kenobi";180,93;83,84
"Defeituoso";"Yoda";180,39;83,1
"Apto";"Aayla Secura";180,38;84,03
"Apto";"Obi-Wan Kenobi";180,68;83,17
"Apto";"Shaak Ti";180,62;83,67
"Apto";"Aayla Secura";180,78;83,24
"Apto";"Mace Windu";180,98;83,78
"Apto";"Aayla Secura";180,99;84,3
"Apto";"Shaak Ti";180,04;83,61
"Apto";"Yoda";181,16;83,12
"Apto";"Obi-Wan Kenobi";180,33;83,7
"Apto";"Yoda";180,06;84,08
"Apto";"Yoda";180,05;83,28
"Apto";"Yoda";181,1;83,78
"Apto";"Aayla Secura";180,37;84,33
"Apto";"Obi-Wan Kenobi";180,89;83,68
"Apto";"Obi-Wan Kenobi";180,31;84,06
"Apto";"Shaak Ti";180,13;84,3
"Apto";"Obi-Wan Kenobi";181,18;83,76
"Apto";"Mace Windu";180,23;84,06
"Apto";"Obi-Wan Kenobi";180,52;83,32
"Apto";"Obi-Wan Kenobi";180,28;84,44
"Apto";"Aayla Secura";180,1;83,4
"Apto";"Obi-Wan Kenobi";180,86;83,7
"Apto";"Aayla Secura";180,25;84,37
"Apto";"Shaak Ti";181,06;83,53
"Apto";"Obi-Wan Kenobi";180,02;84,08
"Apto";"Obi-Wan Kenobi";181,06;83,96
"Defeituoso";"Yoda";180,49;83,21
"Apto";"Obi-Wan Kenobi";180,32;83,97
"Apto";"Obi-Wan Kenobi";180,74;83,25
"Apto";"Aayla Secura";180,19;84,12
"Apto";"Obi-Wan Kenobi";180,65;83,83
"Apto";"Mace Windu";180,86;83,1
"Apto";"Aayla Secura";180,72;83,7
"Apto";"Yoda";180,64;84,5
"Apto";"Shaak Ti";180,18;83,12
"Apto";"Aayla Secura";180,68;83,5
"Apto";"Aayla Secura";180,29;83,7
"Apto";"Shaak Ti";180,71;83,14
"Apto";"Shaak Ti";180,29;84,37
"Apto";"Yoda";180,94;83,87
"Apto";"Mace Windu";180,87;84,11
"Apto";"Shaak Ti";180,18;83,03
"Apto";"Mace Windu";180,5;83,55
"Apto";"Shaak Ti";180,06;83,92
"Apto";"Mace Windu";180,91;83,04
"Apto";"Aayla Secura";181,01;84,22
"Defeituoso";"Shaak Ti";180,48;83,23
"Apto";"Aayla Secura";180,04;83,9
"Apto";"Obi-Wan Kenobi";180,43;84,24
"Apto";"Yoda";180,36;84,34
"Apto";"Yoda";180,4;83,98
"Apto";"Shaak Ti";180,55;83,25
"Apto";"Mace Windu";180,03;84,2
"Apto";"Mace Windu";180,16;83,27
"Apto";"Shaak Ti";180,91;83,16
"Apto";"Shaak Ti";180,74;84,46
"Apto";"Yoda";180,88;83,06
"Apto";"Mace Windu";180,72;83,31
"Defeituoso";"Yoda";180,42;83,13
"Apto";"Aayla Secura";180,04;83,09
"Apto";"Shaak Ti";180,13;84,24
"Apto";"Shaak Ti";180,33;83,93
